nivel,familia,ciclo,municipio,tipo_centro,codigo_centro,centro,modalidad,turno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Alcalá de Henares,PÚBLICO,28000522,IES ANTONIO MACHADO,,
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Alcorcón,PÚBLICO,28026092,IES LOS CASTILLOS,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Aranjuez,PÚBLICO,28001629,IES DOMENICO SCARLATTI,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Cercedilla,PÚBLICO,28035342,IES LA DEHESILLA,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Collado Villalba,CONCERTADO,28046182,CPR INF-PRI-SEC SANTA MARIA,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Fuenlabrada,PÚBLICO,28074050,IES JOSE LUIS LOPEZ ARANGUREN,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Galapagar,PÚBLICO,28042620,IES INFANTA ELENA,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Guadarrama,CONCERTADO,28069303,CPR INF-PRI-SEC GSD GUADARRAMA,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Madrid,PÚBLICO,28020341,IES VIRGEN DE LA PALOMA,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Madrid,PÚBLICO,28020715,IES PIO BAROJA,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Madrid,PÚBLICO,28022724,IES CIUDAD ESCOLAR,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Madrid,PÚBLICO,28037028,IES ROSA CHACEL,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Madrid,PÚBLICO,28067331,CPR INF-PRI-SEC GSD LAS SUERTES,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Móstoles,PÚBLICO,28023194,IES FELIPE TRIGO,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Parla,CONCERTADO,28072168,CPR INF-PRI-SEC COLEGIO AQUILA,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,San Agustín del Guadalix,PÚBLICO,28046339,IES SAN AGUSTIN DE GUADALIX,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Soto del Real,CONCERTADO,28024812,CPR INF-PRI-SEC EL PILAR,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Torrejón de Ardoz,PÚBLICO,28030228,IES LEON FELIPE,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Tres Cantos,PÚBLICO,28042103,IES PINTOR ANTONIO LOPEZ,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Valdemoro,CONCERTADO,28067847,CPR INF-PRI-SEC COLEGIO VALLE DEL MIRO,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Torrelodones,CONCERTADO,28025166,CPR INF-PRI-SEC SAN IGNACIO DE LOYOLA,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Valdeolmos-Alalpardo,CONCERTADO,28067434,CPR INF-PRI-SEC COLEGIO ARULA,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Sevilla la Nueva,CONCERTADO,28069418,CPR INF-PRI-SEC COLEGIO NOVA HISPALIS,General,Diurno
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Leganés,PÚBLICO,28038291,IES SALVADOR DALI,,
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Madrid,CONCERTADO,28020028,CPR ES SANTA BARBARA,General,Vespertino
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Madrid,CONCERTADO,28065735,CPR INF-PRI-SEC EL VALLE II,General,Vespertino
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Madrid,CONCERTADO,28067321,CPR INF-PRI-SEC EL VALLE III,General,Vespertino
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Soto del Real,CONCERTADO,28024812,CPR INF-PRI-SEC EL PILAR,General,Vespertino
Grado Medio,Actividades físicas y deportivas,Guía en el medio natural y de tiempo libre,Sevilla la Nueva,CONCERTADO,28069418,CPR INF-PRI-SEC COLEGIO NOVA HISPALIS,General,Vespertino
Grado Medio,Administración y gestión,Gestión Administrativa,Sevilla la Nueva,CONCERTADO,28033473,CPR FPE CENTRO DE ESTUDIOS PROFESIONALES (C.E.P.),,
Grado Medio,Administración y gestión,Gestión Administrativa,Alcobendas,PÚBLICO,28038070,IES VIRGEN DE LA PAZ,,
Grado Medio,Administración y gestión,Gestión Administrativa,Alcorcón,PÚBLICO,28039700,IES JOSEFINA ALDECOA,,
