nivel,ciclo,codigo_centro,centro,via_a,via_a1,via_a2,via_b,via_c
Grado Medio,Guía en el medio natural y de tiempo libre,28000522,IES ANTONIO MACHADO,"9,02",,,"15,52","13,77"
Grado Medio,Guía en el medio natural y de tiempo libre,28026092,IES LOS CASTILLOS,"16,55",,,"15,69",
Grado Medio,Guía en el medio natural y de tiempo libre,28001629,IES DOMENICO SCARLATTI,"15,53",,,"13,31",
Grado Medio,Guía en el medio natural y de tiempo libre,28035342,IES LA DEHESILLA,"14,58",,,"13,33",
Grado Medio,Guía en el medio natural y de tiempo libre,28046182,CPR INF-PRI-SEC SANTA MARIA,"15,42",,,"14,17",
Grado Medio,Guía en el medio natural y de tiempo libre,28074050,IES JOSE LUIS LOPEZ ARANGUREN,"15,37",,,"14,23",
Grado Medio,Guía en el medio natural y de tiempo libre,28042620,IES INFANTA ELENA,"15,63",,,"14,17","10,83"
Grado Medio,Guía en el medio natural y de tiempo libre,28069303,CPR INF-PRI-SEC GSD GUADARRAMA,"10,82",,,"16,93",
Grado Medio,Guía en el medio natural y de tiempo libre,28020341,IES VIRGEN DE LA PALOMA,13,,,"15,67",10
Grado Medio,Guía en el medio natural y de tiempo libre,28020715,IES PIO BAROJA,"14,6",,,"15,94",
Grado Medio,Guía en el medio natural y de tiempo libre,28022724,IES CIUDAD ESCOLAR,"12,88",,,"7,97","12,43"
Grado Medio,Guía en el medio natural y de tiempo libre,28037028,IES ROSA CHACEL,"15,42",,,12,"12,6"
Grado Medio,Guía en el medio natural y de tiempo libre,28067331,CPR INF-PRI-SEC GSD LAS SUERTES,"13,95",,,"15,17",
Grado Medio,Guía en el medio natural y de tiempo libre,28023194,IES FELIPE TRIGO,"12,67",,,"16,48","13,8"
Grado Medio,Guía en el medio natural y de tiempo libre,28072168,CPR INF-PRI-SEC COLEGIO AQUILA,"15,37",,,"14,27",
Grado Medio,Guía en el medio natural y de tiempo libre,28046339,IES SAN AGUSTIN DE GUADALIX,"15,42",,,"16,29",
Grado Medio,Guía en el medio natural y de tiempo libre,28024812,CPR INF-PRI-SEC EL PILAR,"15,74",,,"15,01",
Grado Medio,Guía en el medio natural y de tiempo libre,28030228,IES LEON FELIPE,"14,84",,,"15,29",12
Grado Medio,Guía en el medio natural y de tiempo libre,28042103,IES PINTOR ANTONIO LOPEZ,"15,58",,,"16,59",
Grado Medio,Guía en el medio natural y de tiempo libre,28067847,CPR INF-PRI-SEC COLEGIO VALLE DEL MIRO,"15,42",,,"12,32","16,02"
Grado Medio,Guía en el medio natural y de tiempo libre,28025166,CPR INF-PRI-SEC SAN IGNACIO DE LOYOLA,"7,7",,,"8,54",
Grado Medio,Guía en el medio natural y de tiempo libre,28067434,CPR INF-PRI-SEC COLEGIO ARULA,15,,,,
Grado Medio,Guía en el medio natural y de tiempo libre,28069418,CPR INF-PRI-SEC COLEGIO NOVA HISPALIS,"15,37",,,"16,02",
Grado Medio,Guía en el medio natural y de tiempo libre,28038291,IES SALVADOR DALI,"14,84",,,"10,33","9,24"
Grado Medio,Guía en el medio natural y de tiempo libre,28020028,CPR ES SANTA BARBARA,"7,27",,,"15,7",7
Grado Medio,Guía en el medio natural y de tiempo libre,28065735,CPR INF-PRI-SEC EL VALLE II,"12,25",,,"16,36",
Grado Medio,Guía en el medio natural y de tiempo libre,28067321,CPR INF-PRI-SEC EL VALLE III,12,,,12,
Grado Medio,Guía en el medio natural y de tiempo libre,28024812,CPR INF-PRI-SEC EL PILAR,"12,2",,,,
Grado Medio,Guía en el medio natural y de tiempo libre,28069418,CPR INF-PRI-SEC COLEGIO NOVA HISPALIS,"14,47",,,,
Grado Medio,Gestión Administrativa,28033473,CPR FPE CENTRO DE ESTUDIOS PROFESIONALES (C.E.P.),"13,56",,,,
Grado Medio,Gestión Administrativa,28038070,IES VIRGEN DE LA PAZ,"9,38",,,"13,83","12,76"
Grado Medio,Gestión Administrativa,28039700,IES JOSEFINA ALDECOA,16,,,"12,46",14
Grado Medio,Gestión Administrativa,28039529,CPR FPE JUAN XXIII,"12,76",,,"15,48",
Grado Medio,Gestión Administrativa,28001605,CPR INF-PRI-SEC LOYOLA,16,,,"13,29","14,09"
Grado Medio,Gestión Administrativa,28036981,IES LA POVEDA,"15,67",,,"16,45","14,42"
Grado Medio,Gestión Administrativa,28050537,IES ALFONSO MORENO,12,,,"15,72",7
Grado Medio,Gestión Administrativa,28001976,CPR PRI-SEC GSD INTERNATIONAL SCHOOL BUITRAGO,12,,,,
Grado Medio,Gestión Administrativa,28002181,IES JUAN CARLOS I,"12,11",,,12,7
Grado Medio,Gestión Administrativa,28045050,IES LAZARO CARDENAS,"15,89",,,"15,02",12
Grado Medio,Gestión Administrativa,28036991,IES ANGEL CORELLA,"14,11",,,"15,22","9,33"
Grado Medio,Gestión Administrativa,28042607,IES LUIS BRAILLE,"15,95",,,"12,2",
Grado Medio,Gestión Administrativa,28075509,IES SOR JUANA DE LA CRUZ,7,,,,
Grado Medio,Gestión Administrativa,28033850,IES GASPAR MELCHOR DE JOVELLANOS,"15,63",,,"13,63","12,8"
Grado Medio,Gestión Administrativa,28077971,CP IFP FEDERICA MONTSENY,"9,7",,,"14,52",12
Grado Medio,Gestión Administrativa,28003304,IES ALARNES,"14,25",,,"15,57","14,26"
Grado Medio,Gestión Administrativa,28040714,IES DE GUADARRAMA,"14,68",,,"15,7",
Grado Medio,Gestión Administrativa,28003894,IES LUIS VIVES,"15,26",,,"15,06",
Grado Medio,Gestión Administrativa,28042024,IES PABLO NERUDA,"15,95",,,"14,93",15
Grado Medio,Gestión Administrativa,28019312,IES EL LAGO,"14,75",,,"19,58",
Grado Medio,Gestión Administrativa,28020341,IES VIRGEN DE LA PALOMA,"16,3",,,"14,5","16,87"
Grado Medio,Gestión Administrativa,28020715,IES PIO BAROJA,"15,74",,,"15,48",
Grado Medio,Gestión Administrativa,28020727,IES PARQUE ALUCHE,"14,84",,,,
Grado Medio,Gestión Administrativa,28020831,IES TETUAN DE LAS VICTORIAS,"12,62",,,15,
Grado Medio,Gestión Administrativa,28020961,IES CALDERON DE LA BARCA,"14,95",,,"16,13","9,06"
Grado Medio,Gestión Administrativa,28022724,IES CIUDAD ESCOLAR,"15,37",,,"14,51","12,83"
Grado Medio,Gestión Administrativa,28030964,IES VALLECAS-MAGERIT,16,,,"15,89","9,83"
Grado Medio,Gestión Administrativa,28030976,IES LAS MUSAS,"15,75",,,"12,87","14,62"
Grado Medio,Gestión Administrativa,28031002,IES LEONARDO DA VINCI,"15,33",,,"11,8",7
Grado Medio,Gestión Administrativa,28031014,IES MORATALAZ,"15,39",,,"15,4",9
Grado Medio,Gestión Administrativa,28038355,IES MIRASIERRA,"11,8",,,"15,63",
Grado Medio,Gestión Administrativa,28038367,IES FRANCISCO TOMAS Y VALIENTE,"12,6",,,"10,64",
Grado Medio,Gestión Administrativa,28038823,IES ISAAC NEWTON,9,,,,
Grado Medio,Gestión Administrativa,28039876,IES SALVADOR DALÍ,13,,,"7,5",
Grado Medio,Gestión Administrativa,28039891,IES VILLABLANCA,"15,68",,,"14,06","14,32"
Grado Medio,Gestión Administrativa,28042656,IES CLARA DEL REY,"14,47",,,"12,67",
Grado Medio,Gestión Administrativa,28057271,IES RENACIMIENTO,"15,26",,,"13,5","12,57"
Grado Medio,Gestión Administrativa,28018472,IES SAN CRISTOBAL DE LOS ANGELES,"8,12",,,"15,65",
Grado Medio,Gestión Administrativa,28007619,CPR ES JESÚS MARIA,"12,7",,,12,
Grado Medio,Gestión Administrativa,28008508,CPR INF-PRI-SEC NUESTRA SEÑORA DEL PILAR,"15,53",,,,
Grado Medio,Gestión Administrativa,28008934,CPR INF-PRI-SEC LA SALLE-SAGRADO CORAZON,9,,,,
Grado Medio,Gestión Administrativa,28009604,CPR PRI-SEC SANTA MARIA DE LOS APOSTOLES,"14,58",,,13,
Grado Medio,Gestión Administrativa,28009884,CPR FPE TEIDE IV,"15,63",,,"15,36",
Grado Medio,Gestión Administrativa,28011593,CPR INF-PRI-SEC CIUDAD DE LOS MUCHACHOS,"15,16",,,"16,66",
Grado Medio,Gestión Administrativa,28013590,CPR INF-PRI-SEC RAFAELA YBARRA,"12,78",,,"12,91",
Grado Medio,Gestión Administrativa,28013863,CPR INF-PRI-SEC LA SALLE,"15,83",,,"17,64",
Grado Medio,Gestión Administrativa,28016271,CPR INF-PRI-SEC CENTRO CULTURAL SALMANTINO,9,,,,
Grado Medio,Gestión Administrativa,28018563,CPR FPE GONZALEZ CAÑADAS,,,,,
Grado Medio,Gestión Administrativa,28019300,CPR ES MARIA INMACULADA,"8,33",,,"11,61",
Grado Medio,Gestión Administrativa,28020399,CPR FPE ESCUELA PROFESIONAL JAVERIANA,"8,47",,,"9,53",
Grado Medio,Gestión Administrativa,28022323,CPR FPE TEIDE II,"14,95",,,,
Grado Medio,Gestión Administrativa,28022505,CPR ES PRIMERO DE MAYO,"8,67",,,9,
